날짜,팀1,팀2,점1,점2,승자,패자
03월 24일,넥센,한화,6,3,넥센,한화
03월 24일,두산,삼성,3,6,삼성,두산
03월 24일,KIA,kt,4,5,kt,KIA
03월 24일,NC,LG,4,2,NC,LG
03월 24일,SK,롯데,6,5,SK,롯데
03월 25일,넥센,한화,1,4,한화,넥센
03월 25일,두산,삼성,5,4,두산,삼성
03월 25일,KIA,kt,14,1,KIA,kt
03월 25일,NC,LG,7,1,NC,LG
03월 25일,SK,롯데,5,0,SK,롯데
03월 27일,넥센,LG,5,4,넥센,LG
03월 27일,두산,롯데,5,0,두산,롯데
03월 27일,KIA,삼성,17,0,KIA,삼성
03월 27일,NC,한화,9,6,NC,한화
03월 27일,SK,kt,8,5,SK,kt
03월 28일,넥센,LG,3,9,LG,넥센
03월 28일,두산,롯데,6,5,두산,롯데
03월 28일,KIA,삼성,0,6,삼성,KIA
03월 28일,NC,한화,2,6,한화,NC
03월 28일,SK,kt,5,8,kt,SK
03월 29일,넥센,LG,9,4,넥센,LG
03월 29일,두산,롯데,4,1,두산,롯데
03월 29일,KIA,삼성,7,0,KIA,삼성
03월 29일,NC,한화,4,1,NC,한화
03월 29일,SK,kt,1,7,kt,SK
03월 30일,kt,두산,2,6,두산,kt
03월 30일,롯데,NC,5,7,NC,롯데
03월 30일,삼성,넥센,8,10,넥센,삼성
03월 30일,한화,SK,4,8,SK,한화
03월 30일,LG,KIA,3,4,KIA,LG
03월 31일,롯데,NC,5,10,NC,롯데
03월 31일,삼성,넥센,2,4,넥센,삼성
03월 31일,한화,SK,1,12,SK,한화
03월 31일,kt,두산,20,8,kt,두산
03월 31일,LG,KIA,6,4,LG,KIA
04월 01일,롯데,NC,3,2,롯데,NC
04월 01일,삼성,넥센,6,5,삼성,넥센
04월 01일,한화,SK,1,13,SK,한화
04월 01일,kt,두산,9,4,kt,두산
04월 01일,LG,KIA,6,5,LG,KIA
04월 03일,넥센,kt,1,7,kt,넥센
04월 03일,두산,LG,5,4,두산,LG
04월 03일,한화,롯데,17,11,한화,롯데
04월 03일,NC,삼성,4,3,NC,삼성
04월 03일,SK,KIA,13,3,SK,KIA
04월 04일,넥센,kt,10,2,넥센,kt
04월 04일,두산,LG,6,3,두산,LG
04월 04일,한화,롯데,7,6,한화,롯데
04월 04일,NC,삼성,4,1,NC,삼성
04월 04일,SK,KIA,6,9,KIA,SK
04월 05일,넥센,kt,4,3,넥센,kt
04월 05일,NC,삼성,1,4,삼성,NC
04월 06일,롯데,LG,6,14,LG,롯데
04월 06일,KIA,넥센,11,5,KIA,넥센
04월 07일,두산,NC,6,3,두산,NC
04월 07일,롯데,LG,7,2,롯데,LG
04월 07일,KIA,넥센,5,1,KIA,넥센
04월 07일,kt,한화,10,2,kt,한화
04월 07일,SK,삼성,4,3,SK,삼성
04월 08일,두산,NC,11,10,두산,NC
04월 08일,롯데,LG,2,4,LG,롯데
04월 08일,KIA,넥센,4,3,KIA,넥센
04월 08일,kt,한화,8,12,한화,kt
04월 08일,SK,삼성,4,12,삼성,SK
04월 10일,롯데,넥센,4,3,롯데,넥센
04월 10일,삼성,두산,1,8,두산,삼성
04월 10일,한화,KIA,4,3,한화,KIA
04월 10일,LG,SK,1,4,SK,LG
04월 10일,NC,kt,4,5,kt,NC
04월 11일,롯데,넥센,12,0,롯데,넥센
04월 11일,삼성,두산,6,7,두산,삼성
04월 11일,한화,KIA,6,4,한화,KIA
04월 11일,LG,SK,3,0,LG,SK
