Name,Team,date,2B,3B,OPS,IBB,SB,CS,R,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF
가르시아,LG,03월 28일,0,0,0.411,0,0,0,0.333333333,0.666666667,0,0.333333333,0,0.666666667,0.666666667,0.177666667,0.233333333,4.333333333,4,0.177666667,0,0,0,0
가르시아,LG,03월 29일,0,0,0.266666667,0,0,0,0.333333333,0.666666667,0,0,0,0.333333333,0.666666667,0.133333333,0.133333333,4.666666667,4.666666667,0.133333333,0.333333333,0,0,0
가르시아,LG,03월 30일,0,0,0.416666667,0,0,0,0.333333333,1,0.333333333,0,0,0,1,0.216666667,0.2,5,4.666666667,0.216666667,1.333333333,0,0.333333333,0
가르시아,LG,04월 01일,0.333333333,0,0.75,0,0,0,1,2,0.333333333,0,0,0.333333333,1.666666667,0.416666667,0.333333333,5,4.666666667,0.35,1.666666667,0,0.333333333,0
가르시아,LG,04월 03일,0.333333333,0,1.133333333,0,0,0,1,2.666666667,0.333333333,0.333333333,0,0.666666667,2.333333333,0.6,0.533333333,5,4.333333333,0.533333333,2,0,0.333333333,0
가르시아,LG,04월 04일,0.333333333,0,1.483333333,0,0,0,1.333333333,4,0,0.666666667,0,1,2.666666667,0.85,0.633333333,5.333333333,4.666666667,0.583333333,1.333333333,0.333333333,0,0
가르시아,LG,04월 06일,0,0,1.35,0,0.333333333,0,0.666666667,3.333333333,0,0.666666667,0,0.666666667,2.333333333,0.75,0.6,5,4.333333333,0.55,1,0.333333333,0,0
가르시아,LG,04월 07일,0,0,1.861,0,0.333333333,0,1,5.333333333,0,0.666666667,0.333333333,0.333333333,2.333333333,1.25,0.611,5.333333333,4.333333333,0.55,1.666666667,1,0,0
가르시아,LG,04월 08일,0,0,1.638666667,0,0.333333333,0,0.666666667,4,0,0.333333333,0.666666667,0.666666667,2,1.027666667,0.611,4.666666667,3.666666667,0.527666667,1.333333333,0.666666667,0,0
가르시아,LG,04월 10일,0,0,1.388666667,0,0,0,0.666666667,3.333333333,0,0.666666667,0.666666667,1,1.333333333,0.861,0.527666667,4.666666667,3.333333333,0.361,1.333333333,0.666666667,0,0
가르시아,LG,04월 12일,0,0,0.527666667,0,0.333333333,0,0,0.666666667,0,0.333333333,0.333333333,1.666666667,0.666666667,0.194333333,0.333333333,4,3.333333333,0.194333333,0,0,0,0
가르시아,LG,04월 14일,0,0,0.527666667,0,0.333333333,0,0.333333333,0.666666667,0,0.333333333,0.333333333,1,0.666666667,0.194333333,0.333333333,4,3.333333333,0.194333333,0,0,0,0
가르시아,LG,04월 15일,0,0,0.444333333,0,0.333333333,0,0.333333333,0.666666667,0,0,0.333333333,1.666666667,0.666666667,0.194333333,0.25,4,3.666666667,0.194333333,0,0,0,0
강경학,한화,06월 12일,0.666666667,0,1.833333333,0,0,0,1,5.333333333,0,0,0,1.333333333,2.666666667,1.216666667,0.616666667,4.333333333,4.333333333,0.616666667,1.333333333,0.666666667,0,0
강경학,한화,06월 13일,0.333333333,0,1.683333333,0,0.333333333,0,1,4,0,0.333333333,0,0.666666667,2.666666667,1,0.683333333,4.333333333,4,0.666666667,0.666666667,0.333333333,0,0
강경학,한화,06월 14일,0.333333333,0,1.794333333,0,0.333333333,0,1,4,0,0.666666667,0,0.666666667,2.666666667,1.027666667,0.766666667,4.333333333,3.666666667,0.694333333,0.666666667,0.333333333,0,0
강경학,한화,06월 15일,0,0,0.877666667,0,0.333333333,0,0.666666667,1.333333333,0,0.666666667,0.333333333,1,1.333333333,0.361,0.516666667,4.333333333,3.333333333,0.361,0.333333333,0,0,0
강경학,한화,06월 16일,0,0,0.494333333,0,0,0,0,0.666666667,0.333333333,0.333333333,0.333333333,1,0.666666667,0.177666667,0.316666667,4.333333333,3.666666667,0.177666667,0.333333333,0,0,0
강경학,한화,06월 17일,0,0,0.483333333,0,0,0,0,1,0.333333333,0,0.333333333,1,1,0.2,0.283333333,4.666666667,4.333333333,0.2,0.333333333,0,0,0
강경학,한화,06월 19일,0.333333333,0,0.822333333,0,0,0,0.333333333,1.666666667,0.333333333,0.666666667,0,0.666666667,1.333333333,0.422333333,0.4,5,4.333333333,0.311,0.666666667,0,0,0
강경학,한화,06월 20일,0.333333333,0,0.855666667,0,0,0,0.333333333,1.666666667,0,0.666666667,0,1.333333333,1.333333333,0.439,0.416666667,4.666666667,4,0.327666667,0.666666667,0,0,0
강경학,한화,06월 21일,0.333333333,0,1.189,0,0,0,1.333333333,3,0,0.666666667,0,1,1.666666667,0.705666667,0.483333333,4.666666667,4,0.394333333,1.666666667,0.333333333,0,0
강경학,한화,06월 22일,0.333333333,0,1.233333333,0,0,0,1.666666667,3.666666667,0,0,0,1,2.333333333,0.75,0.483333333,4.666666667,4.666666667,0.483333333,1,0.333333333,0,0
강경학,한화,06월 23일,0.333333333,0,1.283333333,0,0,0,2,3.666666667,0.333333333,0.333333333,0,0.333333333,2.333333333,0.75,0.533333333,5,4.666666667,0.483333333,1,0.333333333,0,0
강경학,한화,06월 24일,0.333333333,0,0.9,0,0,0,1.333333333,2,0.666666667,0.666666667,0,0,1.666666667,0.433333333,0.466666667,5,4.333333333,0.366666667,0.333333333,0,0,0
강경학,한화,06월 26일,0,0.333333333,0.816666667,0,0,0,1,1.666666667,0.666666667,1,0,0.333333333,1,0.416666667,0.4,5,4,0.25,0.666666667,0,0,0
강경학,한화,06월 27일,0,0.333333333,0.683333333,0,0,0,0.666666667,1.333333333,0.333333333,1,0,0.666666667,0.666666667,0.333333333,0.35,4.666666667,3.666666667,0.166666667,0.666666667,0,0,0
강경학,한화,06월 28일,0.333333333,0.333333333,0.883333333,0,0.333333333,0,0.666666667,2,0,0.666666667,0,0.666666667,1,0.5,0.383333333,4.333333333,3.666666667,0.25,1,0,0,0
강경학,한화,06월 29일,0.333333333,0,0.633333333,0,0.333333333,0,0.666666667,1,0,1,0,1,0.666666667,0.25,0.383333333,4.333333333,3.333333333,0.166666667,0.666666667,0,0,0
