Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,GA,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR
강윤구,NC,06월 06일,0,0,3,0,0.416666667,0.333333333,0,0,0,1.333333333,0,0,0,0.333333333,0.333333333,0,0,1.066666667,0.333333333,1,4,0.083333333,4,19,0,0,0.333333333
강윤구,NC,06월 26일,0,0,9.75,0,0.958333333,1.583333333,0,0.333333333,0,1.333333333,0,0,0,1.333333333,1.666666667,0,0,1.1,1.333333333,1,5.333333333,0.273666667,5.666666667,21,0,0,0.666666667
고영표,KT,04월 14일,0,0.666666667,7.366666667,5.333333333,0.978333333,1.923333333,0,1.333333333,0.333333333,6.333333333,1,0,0,4.333333333,8.333333333,0,0,5.066666667,4,1,22.33333333,0.373,25,92,0.333333333,0,1
고영표,KT,04월 20일,1,0.333333333,6.993333333,5.666666667,0.924666667,1.653333333,0,1.333333333,0,6.666666667,1,0,0,4.333333333,8,0,0,5.433333333,4.333333333,1,23,0.346,25.33333333,97,0.333333333,0,1
고영표,KT,04월 26일,1.333333333,0,5.376666667,0,0.842,1.45,0,1,0,5.666666667,1,0,0.333333333,3.666666667,7.333333333,0,0,5.7,3.333333333,1,23.33333333,0.313666667,24.33333333,99.33333333,0.333333333,0,1
고영표,KT,05월 08일,1.666666667,0,4.543333333,0,0.751,1.23,0,1,0,6.666666667,1,0,0.666666667,3.333333333,6.666666667,0,0.333333333,6.7,3,1,25.66666667,0.268666667,27,103.6666667,0.333333333,0,1
고영표,KT,05월 13일,1,0.333333333,3.566666667,0,0.799,1.333333333,0,1.333333333,0.666666667,6,1,0,0.666666667,3.666666667,6.666666667,0,0.333333333,6.666666667,2.333333333,1,25,0.279666667,27.66666667,107.3333333,0.333333333,0,1
고영표,KT,05월 19일,2,0.333333333,4.566666667,4.5,0.819,1.39,0,1.666666667,0.666666667,6.666666667,1,0,0.333333333,4,6.666666667,0,0.333333333,6.666666667,3,1,24.66666667,0.284,28,106.6666667,0.666666667,0,0.666666667
고영표,KT,05월 24일,2,0.333333333,3.9,0,0.839,1.453333333,0,1,1,6,1,0,0,3.333333333,7.333333333,0,0,6,2.333333333,1,23.66666667,0.315,26.33333333,97.66666667,0.666666667,0,0.333333333
고영표,KT,05월 30일,1.666666667,0,1.833333333,0,0.619333333,1.083333333,0,0.666666667,0.666666667,8.333333333,1,0,0.333333333,1.333333333,7,0,0.333333333,7.333333333,1.333333333,1,27.66666667,0.258666667,29.33333333,104.3333333,0.333333333,0,0
고영표,KT,06월 05일,0.333333333,0,1.753333333,0,0.547333333,0.9,0,0.666666667,1,6.666666667,1,0,0.333333333,1.666666667,6,0,0.333333333,7.366666667,1.333333333,1,27,0.223333333,29.33333333,99.33333333,0.333333333,0,0.333333333
고영표,KT,06월 10일,0.333333333,0.333333333,4.003333333,0,0.633,1.013333333,0,0.666666667,0.666666667,5.666666667,1,0,0.333333333,3.333333333,6.666666667,0,0.333333333,7.1,3,1,27.66666667,0.241666667,29.66666667,105,0.666666667,0,0.666666667
고영표,KT,06월 16일,0.666666667,0.333333333,6.67,0,0.785333333,1.516666667,0,0.666666667,0.666666667,4.333333333,1,0,0,5,8,0,0,5.766666667,4.333333333,1,25.33333333,0.312,27.33333333,94.66666667,1,0,0.666666667
고영표,KT,06월 22일,1,0.333333333,7.143333333,0,0.814,1.673333333,0,0.666666667,0.666666667,4.666666667,1,0,0,5,9,0,0,5.766666667,4.666666667,1,26.33333333,0.343,28,95.66666667,1,0,0.333333333
고영표,KT,06월 30일,1,0,7.893333333,4.333333333,0.930666667,1.94,0,1,1,4.333333333,1,0,0,5,9.333333333,0,0,5.366666667,4.666666667,1,24.66666667,0.378,27,96,0.666666667,0,0.666666667
고우석,LG,04월 14일,0,0.333333333,3,0,0.416666667,0.666666667,0,0.333333333,0.333333333,1.333333333,0,0,0,0.333333333,0.333333333,0,0,1.066666667,0.333333333,1,4,0.083333333,4.666666667,18.33333333,0,0,0
고우석,LG,04월 19일,0.333333333,0,0,0,0.25,0.333333333,0,0,0,1,0,0,0,0,0.333333333,0,0,1.066666667,0,1,4,0.083333333,4,15.66666667,0,0,0
고우석,LG,04월 22일,0.666666667,0,0,0,0.5,0.666666667,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0,1.066666667,0,1,4.333333333,0.166666667,4.333333333,16.66666667,0,0,0
고우석,LG,04월 24일,0.666666667,0,0,0,0.777666667,1.333333333,0,0.333333333,0,0,0,0,0,0,1,0,0,1,0,1,3.666666667,0.277666667,4.333333333,17.66666667,0,0,0
고우석,LG,04월 27일,0.333333333,0,0,0,0.705333333,1.666666667,0,0.666666667,0,0.666666667,0,0,0,0.333333333,1,0,0,1,0,1,4,0.261,5,19.33333333,0,0,0
고우석,LG,05월 03일,0,0,0,0,0.455333333,1.333333333,0,0.666666667,0,1.333333333,0,0,0,0.333333333,0.666666667,0,0,1.333333333,0,1,4.666666667,0.177666667,5.666666667,21,0,0,0
고우석,LG,05월 06일,0,0,0,0,0.4,1,0,0.333333333,0,1.333333333,0,0,0,0.333333333,0.666666667,0,0,1.333333333,0,1,4.666666667,0.177666667,5,15.33333333,0,0,0
고우석,LG,05월 10일,0.666666667,0,4.5,0,0.574,1.166666667,0,0.333333333,0,0.666666667,0,0,0,1,1.666666667,0,0,1.666666667,1,1,6.333333333,0.244333333,6.666666667,21.66666667,0,0,0
