Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,H,SH,SF,R
강경학,한화,2015년 03월 28일,0,0,1,0,1,0,2,0,1,0,1,2,0.5,0.5,6,4,0.5,2,0,1,0,1
강경학,한화,2015년 03월 29일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2015년 04월 02일,0,0,0.25,0,0,0,0,1,1,0,2,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 04월 03일,1,0,1.75,0,0,1,4,0,0,0,0,3,1,0.75,4,4,0.75,0,0,0,0,2
강경학,한화,2015년 04월 07일,0,0,0.833,0,0,0,1,0,1,0,0,1,0.333,0.5,5,3,0.333,0,0,0,1,1
강경학,한화,2015년 04월 10일,0,0,1.2,0,0,0,3,0,0,0,1,3,0.6,0.6,5,5,0.6,1,0,0,0,1
강경학,한화,2015년 04월 11일,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 04월 18일,0,0,0.25,0,0,0,0,0,0,1,1,0,0,0.25,5,3,0,0,0,0,1,1
강경학,한화,2015년 04월 29일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
강경학,한화,2015년 05월 12일,0,1,1,0,0,0,3,0,0,0,1,1,0.75,0.25,4,4,0.25,2,0,0,0,0
강경학,한화,2015년 05월 14일,0,0,0.5,0,1,0,1,0,0,0,2,1,0.25,0.25,4,4,0.25,0,0,0,0,1
강경학,한화,2015년 05월 15일,0,0,0.333,0,0,0,0,0,0,1,1,0,0,0.333,3,2,0,0,0,0,0,0
강경학,한화,2015년 05월 17일,0,0,1.267,0,0,0,3,0,1,0,0,3,0.6,0.667,6,5,0.6,1,0,0,0,1
강경학,한화,2015년 05월 19일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0
강경학,한화,2015년 05월 27일,0,0,0.833,0,0,0,1,0,1,0,0,1,0.333,0.5,4,3,0.333,0,0,0,0,1
강경학,한화,2015년 05월 30일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2015년 05월 31일,0,0,0.667,0,0,0,1,0,0,0,1,1,0.333,0.333,4,3,0.333,0,0,0,1,0
강경학,한화,2015년 06월 02일,0,0,2.4,0,0,0,9,0,0,0,0,3,1.8,0.6,5,5,0.6,2,2,0,0,3
강경학,한화,2015년 06월 03일,1,0,0.6,0,0,0,2,0,0,0,0,1,0.4,0.2,5,5,0.2,0,0,0,0,2
강경학,한화,2015년 06월 05일,1,0,1.75,1,0,0,3,0,1,0,0,2,1,0.75,4,3,0.667,0,0,0,0,0
강경학,한화,2015년 06월 06일,0,0,1.25,0,0,0,1,0,2,0,0,1,0.5,0.75,5,2,0.5,2,0,0,1,1
강경학,한화,2015년 06월 07일,0,0,0.65,0,0,0,1,0,1,0,2,1,0.25,0.4,5,4,0.25,0,0,0,0,0
강경학,한화,2015년 06월 10일,1,0,0.9,0,0,0,2,0,1,0,0,1,0.5,0.4,5,4,0.25,0,0,0,0,2
강경학,한화,2015년 06월 11일,1,0,0.9,0,0,0,2,0,1,0,1,1,0.5,0.4,5,4,0.25,1,0,0,0,0
강경학,한화,2015년 06월 12일,0,0,0.667,0,0,0,2,0,0,0,3,2,0.333,0.333,6,6,0.333,0,0,0,0,1
강경학,한화,2015년 06월 13일,0,0,0.8,0,0,0,2,0,0,0,1,2,0.4,0.4,5,5,0.4,0,0,0,0,2
강경학,한화,2015년 06월 14일,0,0,1.417,0,0,0,2,0,1,0,1,2,0.667,0.75,5,3,0.667,1,0,0,1,2
강경학,한화,2015년 06월 16일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2015년 06월 17일,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0.25,5,3,0,0,0,0,1,1
강경학,한화,2015년 06월 18일,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 06월 19일,0,0,0.5,0,0,0,1,0,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,1
강경학,한화,2015년 06월 20일,0,0,0.4,0,0,0,1,1,0,0,2,1,0.2,0.2,5,5,0.2,1,0,0,0,0
강경학,한화,2015년 07월 22일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,1,0,0,0,0
강경학,한화,2015년 07월 24일,0,0,0.5,0,0,0,1,0,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,1
강경학,한화,2015년 07월 30일,0,0,1.467,0,0,0,2,0,2,0,0,2,0.667,0.8,5,3,0.667,0,0,0,0,2
강경학,한화,2015년 07월 31일,0,0,1.1,0,0,1,2,0,1,0,1,2,0.5,0.6,5,4,0.5,2,0,0,0,0
강경학,한화,2015년 08월 01일,0,0,1,0,0,0,3,0,0,0,1,3,0.5,0.5,6,6,0.5,0,0,0,0,2
강경학,한화,2015년 08월 02일,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 08월 04일,0,0,0.5,0,0,0,1,0,0,0,1,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강경학,한화,2015년 08월 06일,0,0,1.1,0,0,0,2,0,1,0,1,2,0.5,0.6,5,4,0.5,1,0,0,0,0
강경학,한화,2015년 08월 07일,0,0,1.5,0,1,0,3,0,0,0,0,3,0.75,0.75,6,4,0.75,0,0,0,2,1
강경학,한화,2015년 08월 08일,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0.5,5,2,0,0,0,0,1,1
강경학,한화,2015년 08월 09일,0,0,1.417,0,0,1,2,0,0,1,1,2,0.667,0.75,4,3,0.667,0,0,0,0,0
강경학,한화,2015년 08월 11일,0,0,1.167,0,0,0,1,0,1,0,0,1,0.5,0.667,5,2,0.5,0,0,0,2,1
강경학,한화,2015년 08월 12일,0,0,1.167,0,0,0,2,0,1,1,1,2,0.5,0.667,6,4,0.5,0,0,0,0,2
강경학,한화,2015년 08월 13일,0,0,0.65,0,0,0,1,0,0,1,1,1,0.25,0.4,5,4,0.25,0,0,0,0,0
강경학,한화,2015년 08월 14일,0,0,0.4,0,0,0,1,0,0,0,0,1,0.2,0.2,5,5,0.2,0,0,0,0,1
강경학,한화,2015년 08월 15일,0,0,0.5,0,0,0,1,0,0,0,1,1,0.25,0.25,5,4,0.25,0,0,0,1,0
강경학,한화,2015년 08월 16일,0,1,2.05,0,0,0,5,0,1,0,0,3,1.25,0.8,5,4,0.75,1,0,0,0,1
강경학,한화,2015년 08월 18일,0,0,0.667,0,0,0,1,0,0,0,0,1,0.333,0.333,4,3,0.333,0,0,0,1,0
강경학,한화,2015년 08월 19일,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 08월 20일,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 08월 21일,0,0,0.4,0,0,0,1,0,0,0,1,1,0.2,0.2,5,5,0.2,0,0,0,0,2
강경학,한화,2015년 08월 22일,0,0,0.8,0,0,0,2,0,0,0,1,2,0.4,0.4,5,5,0.4,0,0,0,0,1
강경학,한화,2015년 08월 23일,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,5,3,0,1,0,0,1,0
강경학,한화,2015년 09월 08일,0,0,0.5,0,0,0,1,0,0,0,2,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강경학,한화,2015년 09월 09일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,1,0,1,0,0
강경학,한화,2015년 09월 11일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0,0,0,0
강경학,한화,2015년 09월 13일,0,0,0.833,0,0,0,1,0,1,0,1,1,0.333,0.5,4,3,0.333,0,0,0,0,2
강경학,한화,2015년 09월 15일,0,0,1.417,0,0,0,2,0,1,0,0,2,0.667,0.75,4,3,0.667,2,0,0,0,1
강경학,한화,2015년 09월 17일,0,1,1.25,0,0,0,3,0,0,0,0,1,1,0.25,4,3,0.333,1,0,1,0,1
강경학,한화,2015년 09월 18일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0
강경학,한화,2015년 09월 19일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2015년 09월 20일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0
