Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
가르시아,LG,03월 28일,0,0,0.4433,0,0,0,1,0,0.1,0,0.3,1,0.2133,0.23,5.7,5.6,0.2133,0,0,0,0,1
가르시아,LG,03월 29일,0,0,0.44,0,0,0,1.1,0,0,0,0.1,1.1,0.22,0.22,5.9,5.9,0.22,0.9,0,0,0,0
가르시아,LG,03월 30일,0,0,0.525,0,0,0,1.2,0.9,0,0,0,1.2,0.285,0.24,6,5.1,0.285,2.9,0,0.9,0,2
가르시아,LG,03월 31일,0.9,0,1.39,0,0,0,3.9,0.2,0,0,0.9,3,0.79,0.6,6,5.8,0.61,1.6,0,0.2,0,1
가르시아,LG,04월 01일,1.1,0,2.1997,0,0,0,4.5,0.1,0,0,0.2,3.4,1.3847,0.815,5.1,4.1,1.045,2.3,0,1,0,1
가르시아,LG,04월 03일,0.3,0,1.9516,0,0,0,3.9,0,0.9,0,1,3.6,1.0216,0.93,5.8,4.7,0.935,2.3,0,0.2,0,1
가르시아,LG,04월 04일,0.1,0,1.8683,0,0,0,5.5,0,1.1,0,1.1,2.7,1.1833,0.685,6.8,5.6,0.61,1.5,0.9,0.1,0,0
가르시아,LG,04월 06일,0,0,1.355,0,0.9,0,3.1,0,0.3,0,0.3,2.5,0.725,0.63,5.3,5,0.605,0.4,0.2,0,0,2
가르시아,LG,04월 07일,0,0,3.1247,0,0.2,0,9,0,1,0.9,0.1,3.3,2.225,0.8997,6.8,4.9,0.815,3.7,1.9,0,0,0
가르시아,LG,04월 08일,0,0,1.4663,0,0.1,0,2.9,0,0.2,1.1,1.8,1.7,0.7997,0.6666,5.2,3.9,0.4997,0.8,0.4,0,0,0
가르시아,LG,04월 10일,0,0,0.6999,0,0,0,1.1,0,1,0.3,1.3,0.5,0.2916,0.4083,5,3.7,0.1416,0.4,0.2,0,0,0
가르시아,LG,04월 12일,0,0,0.5833,0,0.9,0,1,0,0.2,0.1,2.2,1,0.2583,0.325,4.8,4.5,0.2583,0,0,0,0.9,1
가르시아,LG,04월 14일,0,0,0.8747,0,0.2,0,1.1,0,0.1,0.9,0.5,1.1,0.3497,0.525,4.8,3.8,0.3497,0,0,0,0.2,0
