Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강동연,두산,2016년 05월 22일,0.0,0.0,0.0,nan,0.635,1.7,0.0,0.3,0.0,1.5,0.0,0.0,0.0,1.4,0.0,0.0,1.0,0.0,1.0,4.4,0.28,4.7,15.1,0.0,0.0,0.0,1
강동연,두산,2016년 09월 18일,0.0,0.0,6.3,nan,1.165,1.9,0.0,0.1,0.0,1.1,0.0,0.0,0.0,1.8,0.0,0.0,1.0,0.7,1.0,4.8,0.36,4.9,19.4,0.0,0.0,0.7,0
강동호,롯데,2017년 05월 07일,0.0,0.0,6.3,nan,1.3117,1.604,0.0,0.1,0.0,0.2,0.0,0.0,0.0,1.7,0.0,0.0,1.45,0.7,1.0,5.7,0.3866,5.8,14.7,0.0,0.0,0.7,0
강동호,롯데,2017년 05월 13일,0.0,0.0,1.8,nan,0.3667,0.427,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.5,0.0,0.0,1.22,0.2,1.0,4.1,0.1083,4.1,12.7,0.0,0.0,0.2,0
강동호,롯데,2017년 05월 14일,0.0,0.0,0.9,nan,0.175,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.1,1.0,3.1,0.05,3.1,12.1,0.0,0.0,0.1,3
강동호,롯데,2017년 05월 17일,0.7,0.7,5.67,nan,0.5565,1.05,0.0,1.4,0.0,1.0,0.0,0.0,0.0,2.1,0.0,0.0,2.47,2.1,1.0,10.0,0.1617,11.4,45.0,0.0,0.0,0.0,1
강동호,롯데,2017년 05월 25일,0.2,0.2,6.345,nan,0.859,0.825,0.0,0.4,0.0,1.7,0.0,0.0,0.0,1.3,0.0,0.0,1.49,1.3,1.0,6.4,0.1862,6.8,29.9,0.0,0.0,0.7,0
강동호,롯데,2017년 05월 27일,0.1,0.1,2.16,nan,0.7345,1.7,0.0,0.9,0.0,1.2,0.0,0.0,0.0,1.2,0.0,0.0,1.23,0.5,1.0,5.1,0.2381,6.0,21.2,0.0,0.0,0.2,4
강동호,롯데,2017년 06월 08일,1.4,0.0,5.715,nan,0.9559,1.875,0.0,2.3,0.0,3.9,0.0,0.0,0.0,5.2,0.0,0.0,3.81,2.9,1.0,17.4,0.2828,19.7,73.3,0.0,0.0,1.5,3
강동호,롯데,2017년 06월 10일,1.8,0.0,20.34,nan,1.4393,3.4,0.0,0.7,0.0,1.8,0.0,0.0,0.0,4.3,0.0,0.0,1.8,2.9,1.0,9.2,0.5527,9.9,39.1,0.0,0.0,0.4,2
강동호,롯데,2017년 06월 14일,1.3,0.0,10.32,nan,1.1581,1.931,0.0,1.7,0.0,2.1,0.0,0.0,0.0,2.9,0.0,0.0,2.8,2.4,1.0,9.8,0.3192,11.5,51.3,0.0,0.0,0.9,0
강동호,롯데,2017년 06월 15일,0.4,0.0,3.9,nan,0.7227,1.366,0.0,0.4,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,1.4,0.7,1.0,5.2,0.2861,5.6,22.8,0.0,0.0,0.2,1
강동호,롯데,2017년 06월 20일,0.1,0.0,2.315,nan,0.6363,1.285,0.0,0.9,0.0,2.3,0.0,0.0,0.0,3.2,0.0,0.0,2.74,0.9,1.0,11.5,0.2724,12.4,49.3,0.0,0.0,0.1,0
강동호,롯데,2017년 06월 21일,0.0,0.0,0.49,nan,0.1738,0.372,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.9,0.0,0.0,1.44,0.2,1.0,5.3,0.0822,5.5,18.8,0.0,0.0,0.0,2
강동호,롯데,2017년 06월 23일,0.0,0.0,12.845,nan,1.2869,2.236,0.0,0.8,0.0,0.3,0.0,0.0,0.0,1.8,0.0,0.0,1.22,1.5,1.0,4.8,0.3786,6.3,21.5,0.0,0.0,0.7,1
강동호,롯데,2017년 06월 27일,0.0,0.7,6.75,nan,1.2054,1.65,0.0,0.2,0.0,1.4,0.0,0.0,0.0,2.5,0.0,0.0,1.7,1.1,1.0,7.4,0.3331,7.8,29.3,0.0,0.0,0.9,0
강동호,롯데,2017년 06월 28일,0.0,0.2,2.7,nan,0.9094,1.65,1.4,1.5,0.7,1.1,0.0,0.0,0.7,1.5,0.0,0.0,1.9,0.4,1.0,5.7,0.2566,8.0,34.2,0.0,0.0,0.3,0
강동호,롯데,2017년 07월 05일,0.0,0.1,0.45,nan,0.8222,1.85,0.4,0.4,0.2,1.1,0.0,0.0,0.2,1.9,0.0,0.0,1.3,0.1,1.0,5.4,0.3533,6.0,24.0,0.0,0.0,0.1,0
강동호,롯데,2017년 07월 07일,0.0,0.0,0.0,nan,0.23,0.55,0.2,0.2,0.1,1.0,0.0,0.0,0.1,0.5,0.0,0.0,1.1,0.0,1.0,3.6,0.1,3.9,15.1,0.0,0.0,0.0,0
강동호,롯데,2017년 09월 14일,0.0,0.0,0.0,nan,0.43,0.725,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.9,0.0,0.0,1.07,0.0,1.0,3.9,0.215,3.9,18.1,0.0,0.0,0.0,0
강승현,롯데,2016년 08월 07일,0.3,0.0,4.275,nan,0.2906,0.95,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.9,0.0,0.0,1.12,0.6,1.0,4.5,0.1158,4.8,15.3,0.0,0.0,0.0,0
강승현,롯데,2016년 08월 09일,0.8,0.0,1.8,nan,0.6979,1.597,0.0,0.8,0.0,2.2,0.0,0.0,0.0,2.4,0.0,0.0,1.77,0.2,1.0,7.6,0.276,8.4,32.8,0.0,0.0,0.0,5
강승현,한화,2017년 06월 08일,0.9,0.0,31.5,nan,1.7088,5.242,0.0,1.6,0.0,1.3,0.0,0.0,0.0,4.1,0.0,0.0,1.22,3.5,1.0,7.7,0.5041,9.3,37.0,0.0,0.0,1.4,1
강승현,한화,2017년 06월 14일,1.0,0.0,12.78,nan,1.3245,2.411,0.0,0.5,0.0,2.6,0.0,0.0,0.0,2.7,0.0,0.0,1.25,1.7,1.0,7.4,0.3585,7.9,28.2,0.0,0.0,1.1,0
강승현,한화,2017년 06월 15일,0.3,0.0,5.58,nan,0.4486,0.94,0.0,0.2,0.0,2.8,0.0,0.0,0.0,0.9,0.0,0.0,1.04,0.7,1.0,4.3,0.1197,4.5,17.7,0.0,0.0,0.4,0
강승현,한화,2017년 06월 17일,0.1,0.0,0.54,nan,0.5693,1.52,0.0,0.7,0.0,1.6,0.0,0.0,0.0,0.9,0.0,0.0,1.02,0.1,1.0,4.1,0.2036,4.8,18.2,0.0,0.0,0.1,0
강승현,한화,2017년 06월 18일,0.0,0.0,0.0,nan,0.13,0.4,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,1.0,3.2,0.05,3.4,15.6,0.0,0.0,0.0,2
