Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
고영표,KT,04월 14일,0.0,0.3,5.545,4.2,0.8435,1.569,0.0,1.7,0.1,6.3,1.0,0.0,0.0,7.1,0.0,0.0,5.64,3.4,1.0,22.3,0.3174,24.7,92.4,0.1,0.0,1.0,6
고영표,KT,04월 20일,2.1,0.1,8.626,5.6,0.942,1.643,0.0,1.2,0.0,6.2,1.0,0.0,0.0,7.8,0.0,0.0,5.29,5.2,1.0,22.9,0.3399,24.4,96.2,0.7,0.0,1.0,2
고영표,KT,04월 26일,1.3,0.0,3.526,nan,0.831,1.402,0.0,0.4,0.0,5.3,1.0,0.0,0.7,7.8,0.0,0.0,5.82,2.2,1.0,24.3,0.3209,24.7,102.8,0.2,0.0,1.0,2
고영표,KT,05월 08일,1.2,0.0,2.713,nan,0.5867,0.904,0.0,1.5,0.0,7.9,1.0,0.0,0.9,5.2,0.0,0.7,8.01,2.2,1.0,27.6,0.1954,29.8,106.5,0.1,0.0,1.0,7
고영표,KT,05월 13일,1.0,0.7,5.59,nan,0.9634,1.667,0.0,1.8,1.4,5.1,1.0,0.0,0.3,7.2,0.0,0.2,5.9,3.3,1.0,23.0,0.3263,27.1,107.8,0.7,0.0,1.0,3
고영표,KT,05월 19일,3.1,0.2,4.79,5.75,0.8745,1.517,0.0,1.3,0.4,6.6,1.0,0.0,0.1,7.6,0.0,0.1,6.1,3.1,1.0,23.9,0.3231,26.6,105.2,0.9,0.0,0.3,0
고영표,KT,05월 24일,1.6,0.1,1.62,nan,0.6551,1.102,0.0,0.4,0.9,6.7,1.0,0.0,0.0,6.6,0.0,0.0,6.6,1.0,1.0,25.1,0.2664,26.7,88.3,0.3,0.0,0.1,1
고영표,KT,05월 30일,0.6,0.0,1.15,nan,0.5201,0.945,0.0,0.8,0.9,9.8,1.0,0.0,0.7,6.9,0.0,0.7,8.3,1.0,1.0,30.7,0.2279,32.5,116.2,0.1,0.0,0.0,4
고영표,KT,06월 05일,0.1,0.0,3.182,nan,0.5975,0.929,0.0,0.9,1.0,4.3,1.0,0.0,0.2,5.5,0.0,0.2,6.77,2.3,1.0,24.6,0.2244,27.9,96.0,0.7,0.0,0.7,5
고영표,KT,06월 10일,0.7,0.7,5.677,nan,0.7259,1.119,0.0,0.3,0.3,4.3,1.0,0.0,0.1,7.3,0.0,0.1,6.46,4.2,1.0,27.3,0.2668,28.3,99.2,0.9,0.0,0.9,6
고영표,KT,06월 16일,0.9,0.2,8.076,nan,0.8698,2.015,0.0,0.8,0.8,5.9,1.0,0.0,0.0,9.8,0.0,0.0,5.35,4.8,1.0,26.0,0.376,27.8,96.4,1.0,0.0,0.3,4
고영표,KT,06월 22일,1.0,0.1,6.451,nan,0.7748,1.594,0.0,0.9,0.9,3.9,1.0,0.0,0.0,8.6,0.0,0.0,5.89,4.3,1.0,25.5,0.3372,28.0,92.9,1.0,0.0,0.1,5
고영표,KT,06월 30일,1.0,0.0,8.336,3.4,1.0338,1.924,0.0,1.0,1.0,3.4,1.0,0.0,0.0,9.0,0.0,0.0,5.22,4.8,1.0,23.7,0.38,25.9,97.2,0.3,0.0,1.4,0
고영표,KT,07월 07일,0.3,0.0,2.368,3.0,0.5879,0.913,0.0,1.0,1.7,3.0,1.0,0.0,0.7,4.0,0.7,0.7,5.25,1.4,1.0,17.6,0.2033,20.4,72.3,0.1,0.0,0.4,1
구창모,NC,04월 20일,0.8,0.0,4.08,2.349,0.918,1.763,0.0,2.3,0.2,5.3,1.0,0.0,0.0,6.4,0.0,0.0,4.92,2.3,1.0,21.2,0.3009,23.7,96.8,0.7,0.0,1.5,6
구창모,NC,05월 11일,1.6,0.0,19.98,1.083,1.519,3.695,0.0,2.1,0.1,2.4,1.0,0.0,0.0,6.8,0.0,0.0,2.81,4.8,1.0,13.9,0.5366,16.1,62.9,0.9,0.0,1.1,0
