Name,Team,date,2타,3타,ERA,K/BB,OPS,WHIP,고사,볼넷,사구,삼진,선발,세이브,승,실점,안타,완봉,완투,이닝,자책,출장,타수,타율,타자,투구,패,홀드,홈런
강동연,두산,2016년 05월 04일,0,0,0,1,0.25,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,0,4,12,0,0,0
강동연,두산,2016년 05월 19일,0,0,0,0,0.25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,4,17,0,0,0
강동연,두산,2016년 05월 20일,0,0,0,,0.8,2,0,0,0,2,0,0,0,0,2,0,0,1,0,1,5,0.4,5,15,0,0,0
강동연,두산,2016년 05월 22일,0,0,9,,1.4,2,0,0,0,1,0,0,0,1,2,0,0,1,1,1,5,0.4,5,21,0,0,1
강동연,두산,2016년 09월 18일,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,3,12,0,0,0
강동호,롯데,2017년 04월 23일,0,0,0,0,0.533,1.5,0,1,0,0,0,0,0,0,1,0,0,1.1,0,1,5,0.2,6,23,0,0,0
강동호,롯데,2017년 04월 27일,0,0,0,,0.167,0.27,0,0,0,1,0,0,0,0,1,0,0,3.2,0,1,12,0.083,12,34,0,0,0
강동호,롯데,2017년 05월 03일,0,0,9,,1.75,2,0,0,0,0,0,0,0,1,2,0,0,1,1,1,4,0.5,4,8,0,0,1
강동호,롯데,2017년 05월 07일,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,3,11,0,0,0
강동호,롯데,2017년 05월 13일,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,3,13,0,0,0
강동호,롯데,2017년 05월 14일,1,1,8.1,0.5,0.795,1.5,0,2,0,1,0,0,0,3,3,0,0,3.1,3,1,13,0.231,15,59,0,0,0
강동호,롯데,2017년 05월 17일,0,0,6.75,,1,0.75,0,0,0,2,0,0,0,1,1,0,0,1.1,1,1,5,0.2,5,24,0,0,1
강동호,롯데,2017년 05월 25일,0,0,0,1,0.65,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,4,0.25,5,15,0,0,0
강동호,롯데,2017년 05월 27일,2,0,7.2,1.67,1.037,2,0,3,0,5,0,0,0,4,7,0,0,5,4,1,23,0.304,26,97,0,0,2
강동호,롯데,2017년 06월 08일,2,0,27,,1.667,4,0,0,0,1,0,0,0,3,4,0,0,1,3,1,6,0.667,6,26,0,0,0
강동호,롯데,2017년 06월 10일,1,0,6,1,1.03,1.33,0,2,0,2,0,0,0,2,2,0,0,3,2,1,9,0.222,11,52,0,0,1
강동호,롯데,2017년 06월 14일,0,0,0,,0.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,14,0,0,0
강동호,롯데,2017년 06월 15일,0,0,2.45,3,0.619,1.36,0,1,0,3,0,0,0,1,4,0,0,3.2,1,1,14,0.286,15,59,0,0,0
강동호,롯데,2017년 06월 20일,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,8,0,0,0
강동호,롯데,2017년 06월 21일,0,0,18,0,1.75,3,0,1,0,0,0,0,0,2,2,0,0,1,2,1,4,0.5,6,20,0,0,1
강동호,롯데,2017년 06월 23일,0,1,4.5,,1.222,1.5,0,0,0,2,0,0,0,1,3,0,0,2,1,1,9,0.333,9,35,0,0,1
강동호,롯데,2017년 06월 27일,0,0,0,0.5,0.7,1.5,2,2,1,1,0,0,1,0,1,0,0,2,0,1,5,0.2,8,36,0,0,0
강동호,롯데,2017년 06월 28일,0,0,0,,0.8,2,0,0,0,1,0,0,0,0,2,0,0,1,0,1,5,0.4,5,19,0,0,0
강동호,롯데,2017년 07월 05일,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,3,11,0,0,0
강동호,롯데,2017년 07월 07일,0,0,0,,0.5,0.75,0,0,0,0,0,0,0,0,1,0,0,1.1,0,1,4,0.25,4,20,0,0,0
강동호,롯데,2017년 09월 14일,1,0,0,2,0.708,1.5,0,1,0,2,0,0,0,0,2,0,0,2,0,1,8,0.25,9,32,0,0,0
강승현,롯데,2016년 05월 29일,1,0,6.75,2,0.764,1.5,0,1,0,2,0,0,0,2,3,0,0,2.2,2,1,10,0.3,11,47,0,0,0
강승현,롯데,2016년 06월 05일,1,0,18,1,1.071,4,0,1,0,1,0,0,0,2,3,0,0,1,2,1,7,0.429,8,25,0,0,0
강승현,롯데,2016년 08월 06일,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,8,0,0,0
강승현,롯데,2016년 08월 07일,1,0,0,3,0.844,1.71,0,1,0,3,0,0,0,0,3,0,0,2.1,0,1,9,0.333,10,41,0,0,0
강승현,롯데,2016년 08월 09일,1,0,45,0.5,2.2,7,0,2,0,1,0,0,0,5,5,0,0,1,5,1,8,0.625,10,40,0,0,2
