Name,Team,date,2B1,3B1,ERA1,K/BB1,OPS1,WHIP1,IBB1,BB1,HBP1,K1,GS1,S1,W1,HIT1,SO1,CG1,INNING1,ER1,GP1,BF1,BA1,PA1,PITCH1,L1,HOLD1,HR1,2B2,3B2,ERA2,K/BB2,OPS2,WHIP2,IBB2,BB2,HBP2,K2,GS2,S2,W2,HIT2,SO2,CG2,INNING2,ER2,GP2,BF2,BA2,PA2,PITCH2,L2,HOLD2,HR2,2B3,3B3,ERA3,K/BB3,OPS3,WHIP3,IBB3,BB3,HBP3,K3,GS3,S3,W3,HIT3,SO3,CG3,INNING3,ER3,GP3,BF3,BA3,PA3,PITCH3,L3,HOLD3,HR3,GA
강윤구,NC,06월 06일,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,19,0,0,0,0,0,9,0,1.25,1,0,0,0,1,0,0,0,1,0,0,1,1,1,4,0.25,4,16,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.2,0,1,5,0,5,22,0,0,0,3
강윤구,NC,06월 26일,0,0,9,0,1.25,1,0,0,0,1,0,0,0,1,0,0,1,1,1,4,0.25,4,16,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.2,0,1,5,0,5,22,0,0,0,0,0,20.25,1,1.625,3.75,0,1,0,1,0,0,0,4,0,0,1.1,3,1,7,0.571,8,25,0,0,1,0
강윤구,NC,07월 03일,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.2,0,1,5,0,5,22,0,0,0,0,0,20.25,1,1.625,3.75,0,1,0,1,0,0,0,4,0,0,1.1,3,1,7,0.571,8,25,0,0,1,0,0,0,2,0.2,0.75,0,1,0,2,0,0,0,0,0,0,1.1,0,1,4,0,5,24,0,1,0,0
강윤구,NC,07월 05일,0,0,20.25,1,1.625,3.75,0,1,0,1,0,0,0,4,0,0,1.1,3,1,7,0.571,8,25,0,0,1,0,0,0,2,0.2,0.75,0,1,0,2,0,0,0,0,0,0,1.1,0,1,4,0,5,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,11,0,0,0,0
강윤구,NC,07월 08일,0,0,0,2,0.2,0.75,0,1,0,2,0,0,0,0,0,0,1.1,0,1,4,0,5,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,2,0,4,18,0,0,0,0
강윤구,NC,07월 10일,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,2,0,4,18,0,0,0,0,0,0,3,0.65,2,0,1,0,3,0,0,1,1,0,0,1,0,1,4,0.25,5,24,0,0,0,0
강윤구,NC,07월 11일,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,2,0,4,18,0,0,0,0,0,0,3,0.65,2,0,1,0,3,0,0,1,1,0,0,1,0,1,4,0.25,5,24,0,0,0,0,0,0,1,0.167,0.6,0,1,0,1,0,0,1,0,0,0,1.2,0,1,5,0,6,22,0,0,0,0
고영표,KT,04월 14일,0,1,11.25,5,1.145,2.5,0,1,1,5,1,0,0,9,0,0,4,5,1,21,0.429,23,82,1,0,1,0,1,6.35,8,1.048,1.94,0,1,0,8,1,0,0,10,0,0,5.2,4,1,24,0.417,28,99,0,0,1,0,0,4.5,3,0.742,1.33,0,2,0,6,1,0,0,6,0,0,6,3,1,22,0.273,24,95,0,0,1,6
고영표,KT,04월 20일,0,1,6.35,8,1.048,1.94,0,1,0,8,1,0,0,10,0,0,5.2,4,1,24,0.417,28,99,0,0,1,0,0,4.5,3,0.742,1.33,0,2,0,6,1,0,0,6,0,0,6,3,1,22,0.273,24,95,0,0,1,3,0,10.13,6,0.984,1.69,0,1,0,6,1,0,0,8,0,0,5.1,6,1,23,0.348,24,97,1,0,1,2
고영표,KT,04월 26일,0,0,4.5,3,0.742,1.33,0,2,0,6,1,0,0,6,0,0,6,3,1,22,0.273,24,95,0,0,1,3,0,10.13,6,0.984,1.69,0,1,0,6,1,0,0,8,0,0,5.1,6,1,23,0.348,24,97,1,0,1,1,0,1.5,0,0.8,1.33,0,0,0,5,1,0,1,8,0,0,6,1,1,25,0.32,25,106,0,0,1,2
