Name,Team,date,R1,R2,R3,R
강경학,한화,2015년 04월 03일,1,0,0,2
강경학,한화,2015년 04월 07일,0,0,2,1
강경학,한화,2015년 04월 10일,0,2,1,1
강경학,한화,2015년 04월 11일,2,1,1,0
강경학,한화,2015년 04월 18일,1,1,0,1
강경학,한화,2015년 04월 29일,1,0,1,0
강경학,한화,2015년 05월 12일,0,1,0,0
강경학,한화,2015년 05월 14일,1,0,0,1
강경학,한화,2015년 05월 15일,0,0,1,0
강경학,한화,2015년 05월 17일,0,1,0,1
강경학,한화,2015년 05월 19일,1,0,1,0
강경학,한화,2015년 05월 27일,0,1,0,1
강경학,한화,2015년 05월 30일,1,0,1,0
강경학,한화,2015년 05월 31일,0,1,0,0
강경학,한화,2015년 06월 02일,1,0,0,3
강경학,한화,2015년 06월 03일,0,0,3,2
강경학,한화,2015년 06월 05일,0,3,2,0
강경학,한화,2015년 06월 06일,3,2,0,1
강경학,한화,2015년 06월 07일,2,0,1,0
강경학,한화,2015년 06월 10일,0,1,0,2
강경학,한화,2015년 06월 11일,1,0,2,0
강경학,한화,2015년 06월 12일,0,2,0,1
강경학,한화,2015년 06월 13일,2,0,1,2
강경학,한화,2015년 06월 14일,0,1,2,2
강경학,한화,2015년 06월 16일,1,2,2,0
강경학,한화,2015년 06월 17일,2,2,0,1
강경학,한화,2015년 06월 18일,2,0,1,0
강경학,한화,2015년 06월 19일,0,1,0,1
강경학,한화,2015년 06월 20일,1,0,1,0
강경학,한화,2015년 07월 22일,0,1,0,0
강경학,한화,2015년 07월 24일,1,0,0,1
강경학,한화,2015년 07월 30일,0,0,1,2
강경학,한화,2015년 07월 31일,0,1,2,0
강경학,한화,2015년 08월 01일,1,2,0,2
강경학,한화,2015년 08월 02일,2,0,2,0
강경학,한화,2015년 08월 04일,0,2,0,0
강경학,한화,2015년 08월 06일,2,0,0,0
강경학,한화,2015년 08월 07일,0,0,0,1
강경학,한화,2015년 08월 08일,0,0,1,1
강경학,한화,2015년 08월 09일,0,1,1,0
강경학,한화,2015년 08월 11일,1,1,0,1
강경학,한화,2015년 08월 12일,1,0,1,2
강경학,한화,2015년 08월 13일,0,1,2,0
강경학,한화,2015년 08월 14일,1,2,0,1
강경학,한화,2015년 08월 15일,2,0,1,0
강경학,한화,2015년 08월 16일,0,1,0,1
강경학,한화,2015년 08월 18일,1,0,1,0
강경학,한화,2015년 08월 19일,0,1,0,0
강경학,한화,2015년 08월 20일,1,0,0,0
강경학,한화,2015년 08월 21일,0,0,0,2
강경학,한화,2015년 08월 22일,0,0,2,1
강경학,한화,2015년 08월 23일,0,2,1,0
강경학,한화,2015년 09월 08일,2,1,0,0
강경학,한화,2015년 09월 09일,1,0,0,0
강경학,한화,2015년 09월 11일,0,0,0,0
강경학,한화,2015년 09월 13일,0,0,0,2
강경학,한화,2015년 09월 15일,0,0,2,1
강경학,한화,2015년 09월 17일,0,2,1,1
강경학,한화,2015년 09월 18일,2,1,1,0
강경학,한화,2015년 09월 19일,1,1,0,0
강경학,한화,2015년 09월 20일,1,0,0,0
강경학,한화,2015년 09월 25일,0,0,0,0
강경학,한화,2015년 09월 26일,0,0,0,1
강경학,한화,2015년 10월 02일,0,0,1,0
강경학,한화,2015년 10월 03일,0,1,0,0
강경학,한화,2016년 04월 06일,1,0,0,1
강경학,한화,2016년 04월 08일,0,0,1,1
강경학,한화,2016년 04월 09일,0,1,1,0
강경학,한화,2016년 04월 10일,1,1,0,0
강경학,한화,2016년 04월 15일,1,0,0,0
강경학,한화,2016년 04월 19일,0,0,0,0
강경학,한화,2016년 06월 17일,0,0,0,0
강경학,한화,2016년 06월 18일,0,0,0,0
강경학,한화,2016년 06월 21일,0,0,0,0
강경학,한화,2016년 06월 23일,0,0,0,0
강경학,한화,2016년 06월 24일,0,0,0,0
강경학,한화,2016년 06월 25일,0,0,0,0
강경학,한화,2016년 07월 12일,0,0,0,1
강경학,한화,2016년 07월 13일,0,0,1,1
강경학,한화,2016년 07월 14일,0,1,1,2
강경학,한화,2016년 07월 19일,1,1,2,2
강경학,한화,2016년 07월 21일,1,2,2,1
강경학,한화,2016년 07월 24일,2,2,1,0
강경학,한화,2017년 04월 02일,2,1,0,0
강경학,한화,2017년 04월 04일,1,0,0,0
강경학,한화,2017년 04월 23일,0,0,0,3
강경학,한화,2017년 05월 28일,0,0,3,1
강경학,한화,2017년 06월 15일,0,3,1,0
강경학,한화,2017년 06월 18일,3,1,0,1
강경학,한화,2017년 06월 29일,1,0,1,0
강경학,한화,2017년 07월 04일,0,1,0,0
강경학,한화,2017년 07월 06일,1,0,0,0
강민호,롯데,2015년 04월 03일,0,0,0,0
