Name,Team,date,R1,R2,R3,R
가르시아,LG,03월 28일,1,0,0,1
가르시아,LG,03월 29일,0,0,1,0
가르시아,LG,03월 30일,0,1,0,2
가르시아,LG,03월 31일,1,0,2,1
가르시아,LG,04월 01일,0,2,1,1
가르시아,LG,04월 03일,2,1,1,1
가르시아,LG,04월 04일,1,1,1,0
가르시아,LG,04월 06일,1,1,0,2
가르시아,LG,04월 07일,1,0,2,0
가르시아,LG,04월 08일,0,2,0,0
가르시아,LG,04월 10일,2,0,0,0
가르시아,LG,04월 12일,0,0,0,1
가르시아,LG,04월 14일,0,0,1,0
가르시아,LG,04월 15일,0,1,0,0
강경학,한화,06월 12일,2,0,1,2
강경학,한화,06월 13일,0,1,2,0
강경학,한화,06월 14일,1,2,0,0
강경학,한화,06월 15일,2,0,0,0
강경학,한화,06월 16일,0,0,0,0
강경학,한화,06월 17일,0,0,0,1
강경학,한화,06월 19일,0,0,1,0
강경학,한화,06월 20일,0,1,0,3
강경학,한화,06월 21일,1,0,3,2
강경학,한화,06월 22일,0,3,2,1
강경학,한화,06월 23일,3,2,1,1
강경학,한화,06월 24일,2,1,1,1
강경학,한화,06월 26일,1,1,1,0
강경학,한화,06월 27일,1,1,0,1
강경학,한화,06월 28일,1,0,1,1
강경학,한화,06월 29일,0,1,1,1
강경학,한화,06월 30일,1,1,1,1
강경학,한화,07월 03일,1,1,1,0
강경학,한화,07월 04일,1,1,0,1
강경학,한화,07월 05일,1,0,1,0
강경학,한화,07월 06일,0,1,0,0
강경학,한화,07월 07일,1,0,0,0
강경학,한화,07월 08일,0,0,0,1
강경학,한화,07월 10일,0,0,1,1
강경학,한화,07월 11일,0,1,1,2
강경학,한화,07월 12일,1,1,2,0
강민호,삼성,03월 31일,1,0,2,0
강민호,삼성,04월 03일,0,2,0,0
강민호,삼성,04월 04일,2,0,0,0
강민호,삼성,04월 05일,0,0,0,0
강민호,삼성,04월 07일,0,0,0,0
강민호,삼성,04월 08일,0,0,0,0
강민호,삼성,04월 11일,0,0,0,1
강민호,삼성,04월 12일,0,0,1,0
강민호,삼성,04월 13일,0,1,0,0
강민호,삼성,04월 14일,1,0,0,0
강민호,삼성,04월 17일,0,0,0,0
강민호,삼성,04월 18일,0,0,0,0
강민호,삼성,04월 20일,0,0,0,1
강민호,삼성,04월 21일,0,0,1,0
강민호,삼성,04월 24일,0,1,0,0
강민호,삼성,04월 28일,1,0,0,2
강민호,삼성,04월 29일,0,0,2,0
강민호,삼성,05월 02일,0,2,0,0
강민호,삼성,05월 03일,2,0,0,2
강민호,삼성,05월 04일,0,0,2,2
강민호,삼성,05월 05일,0,2,2,0
강민호,삼성,05월 08일,2,2,0,1
강민호,삼성,05월 09일,2,0,1,0
강민호,삼성,05월 10일,0,1,0,0
강민호,삼성,05월 15일,1,0,0,0
강민호,삼성,05월 16일,0,0,0,0
강민호,삼성,05월 17일,0,0,0,1
강민호,삼성,05월 18일,0,0,1,0
강민호,삼성,05월 19일,0,1,0,1
강민호,삼성,05월 22일,1,0,1,1
강민호,삼성,05월 23일,0,1,1,1
강민호,삼성,05월 24일,1,1,1,1
강민호,삼성,05월 25일,1,1,1,1
강민호,삼성,05월 29일,1,1,1,1
강민호,삼성,05월 31일,1,1,1,0
강민호,삼성,06월 01일,1,1,0,3
강민호,삼성,06월 02일,1,0,3,0
강민호,삼성,06월 03일,0,3,0,0
강민호,삼성,06월 07일,3,0,0,0
강민호,삼성,06월 12일,0,0,0,0
강민호,삼성,06월 13일,0,0,0,0
강민호,삼성,06월 14일,0,0,0,1
강민호,삼성,06월 17일,0,0,1,0
강민호,삼성,06월 19일,0,1,0,1
강민호,삼성,06월 21일,1,0,1,0
강민호,삼성,06월 23일,0,1,0,1
강민호,삼성,06월 26일,1,0,1,1
강민호,삼성,06월 27일,0,1,1,0
강민호,삼성,07월 04일,1,1,0,0
강민호,삼성,07월 05일,1,0,0,0
강민호,삼성,07월 06일,0,0,0,1
강민호,삼성,07월 07일,0,0,1,1
강민호,삼성,07월 08일,0,1,1,1
강민호,삼성,07월 10일,1,1,1,1
강백호,KT,03월 28일,1,0,2,1
강백호,KT,03월 29일,0,2,1,0
강백호,KT,03월 30일,2,1,0,1
강백호,KT,03월 31일,1,0,1,2
