Name,Team,date,GA1,GA2,GA3,GA
강동연,두산,2016년 05월 22일,0,0,0,1
강동연,두산,2016년 09월 18일,0,0,1,0
강동호,롯데,2017년 05월 07일,0,0,1,0
강동호,롯데,2017년 05월 13일,0,1,0,0
강동호,롯데,2017년 05월 14일,1,0,0,3
강동호,롯데,2017년 05월 17일,0,0,3,1
강동호,롯데,2017년 05월 25일,0,3,1,0
강동호,롯데,2017년 05월 27일,3,1,0,4
강동호,롯데,2017년 06월 08일,1,0,4,3
강동호,롯데,2017년 06월 10일,0,4,3,2
강동호,롯데,2017년 06월 14일,4,3,2,0
강동호,롯데,2017년 06월 15일,3,2,0,1
강동호,롯데,2017년 06월 20일,2,0,1,0
강동호,롯데,2017년 06월 21일,0,1,0,2
강동호,롯데,2017년 06월 23일,1,0,2,1
강동호,롯데,2017년 06월 27일,0,2,1,0
강동호,롯데,2017년 06월 28일,2,1,0,0
강동호,롯데,2017년 07월 05일,1,0,0,0
강동호,롯데,2017년 07월 07일,0,0,0,0
강동호,롯데,2017년 09월 14일,0,0,0,0
강승현,롯데,2016년 08월 07일,2,2,0,0
강승현,롯데,2016년 08월 09일,2,0,0,5
강승현,한화,2017년 06월 08일,0,0,5,1
강승현,한화,2017년 06월 14일,0,5,1,0
강승현,한화,2017년 06월 15일,5,1,0,0
강승현,한화,2017년 06월 17일,1,0,0,0
강승현,한화,2017년 06월 18일,0,0,0,2
강승현,한화,2017년 06월 20일,0,0,2,0
강승현,한화,2017년 06월 25일,0,2,0,1
강승현,한화,2017년 06월 30일,2,0,1,5
강승현,한화,2017년 07월 04일,0,1,5,2
강승현,한화,2017년 07월 06일,1,5,2,1
강승현,한화,2017년 07월 21일,5,2,1,1
강승현,한화,2017년 07월 26일,2,1,1,0
강승현,한화,2017년 07월 29일,1,1,0,0
강승현,한화,2017년 08월 03일,1,0,0,3
강승현,한화,2017년 08월 05일,0,0,3,1
강승현,한화,2017년 08월 08일,0,3,1,0
강승현,한화,2017년 09월 01일,3,1,0,0
강승현,한화,2017년 09월 02일,1,0,0,0
강승현,한화,2017년 09월 07일,0,0,0,1
강승현,한화,2017년 09월 12일,0,0,1,0
강승현,한화,2017년 09월 14일,0,1,0,0
강승현,한화,2017년 09월 22일,1,0,0,0
강승현,한화,2017년 09월 29일,0,0,0,0
강승현,한화,2017년 10월 03일,0,0,0,1
강영식,롯데,2015년 06월 21일,4,0,2,0
강영식,롯데,2015년 06월 23일,0,2,0,1
강영식,롯데,2015년 07월 22일,2,0,1,0
강영식,롯데,2015년 07월 24일,0,1,0,0
강영식,롯데,2015년 07월 28일,1,0,0,0
강영식,롯데,2015년 07월 29일,0,0,0,0
강영식,롯데,2015년 08월 11일,0,0,0,0
강영식,롯데,2015년 08월 13일,0,0,0,0
강영식,롯데,2015년 08월 18일,0,0,0,0
강영식,롯데,2015년 08월 19일,0,0,0,0
강영식,롯데,2015년 08월 23일,0,0,0,0
강영식,롯데,2015년 08월 26일,0,0,0,0
강영식,롯데,2015년 08월 29일,0,0,0,1
강영식,롯데,2015년 09월 02일,0,0,1,0
강영식,롯데,2015년 09월 05일,0,1,0,1
강영식,롯데,2015년 09월 09일,1,0,1,0
강영식,롯데,2015년 09월 16일,0,1,0,0
강영식,롯데,2015년 09월 18일,1,0,0,0
강영식,롯데,2015년 09월 22일,0,0,0,0
강영식,롯데,2015년 09월 24일,0,0,0,1
강영식,롯데,2015년 10월 02일,0,0,1,0
강영식,롯데,2015년 10월 04일,0,1,0,0
강영식,롯데,2016년 05월 12일,1,0,0,0
강영식,롯데,2016년 05월 13일,0,0,0,0
강영식,롯데,2016년 05월 15일,0,0,0,0
강영식,롯데,2016년 05월 21일,0,0,0,0
강영식,롯데,2016년 06월 08일,0,0,0,0
강영식,롯데,2017년 04월 16일,0,0,0,0
강윤구,NC,2017년 05월 13일,2,2,5,1
강윤구,NC,2017년 05월 14일,2,5,1,0
강윤구,NC,2017년 05월 18일,5,1,0,0
강윤구,NC,2017년 05월 19일,1,0,0,3
강윤구,NC,2017년 05월 25일,0,0,3,3
강윤구,NC,2017년 06월 20일,0,3,3,0
강윤구,NC,2017년 06월 25일,3,3,0,2
강윤구,NC,2017년 06월 28일,3,0,2,0
강윤구,NC,2017년 07월 09일,0,2,0,2
강윤구,NC,2017년 07월 13일,2,0,2,2
강윤구,NC,2017년 07월 21일,0,2,2,1
강윤구,NC,2017년 07월 25일,2,2,1,0
강윤구,NC,2017년 08월 04일,2,1,0,0
강윤구,NC,2017년 08월 05일,1,0,0,0
강윤구,NC,2017년 08월 08일,0,0,0,2
강윤구,NC,2017년 08월 12일,0,0,2,0
강윤구,NC,2017년 08월 15일,0,2,0,0
강윤구,NC,2017년 08월 16일,2,0,0,0
강윤구,NC,2017년 08월 20일,0,0,0,3
강윤구,NC,2017년 08월 27일,0,0,3,0
강윤구,NC,2017년 08월 30일,0,3,0,0
강윤구,NC,2017년 09월 15일,3,0,0,2
강윤구,NC,2017년 09월 17일,0,0,2,0
강장산,NC,2015년 04월 12일,2,1,0,2
강장산,NC,2015년 04월 15일,1,0,2,0
강장산,NC,2015년 04월 17일,0,2,0,1
강장산,NC,2015년 06월 07일,2,0,1,0
강장산,NC,2015년 06월 24일,0,1,0,1
강장산,NC,2015년 06월 27일,1,0,1,1
강장산,NC,2015년 07월 03일,0,1,1,0
강장산,NC,2015년 07월 09일,1,1,0,0
강장산,NC,2015년 07월 11일,1,0,0,0
강장산,NC,2015년 07월 24일,0,0,0,2
강장산,NC,2015년 07월 29일,0,0,2,2
강장산,NC,2015년 07월 31일,0,2,2,1
강장산,NC,2015년 08월 04일,2,2,1,0
강장산,NC,2016년 04월 02일,2,1,0,0
강장산,NC,2016년 09월 04일,1,0,0,0
강장산,NC,2017년 04월 15일,0,0,0,0
강장산,NC,2017년 05월 07일,0,0,0,0
강장산,NC,2017년 05월 13일,0,0,0,2
강장산,NC,2017년 05월 18일,0,0,2,1
강장산,kt,2017년 06월 04일,0,2,1,0
강장산,kt,2017년 06월 08일,2,1,0,0
강장산,kt,2017년 06월 10일,1,0,0,0
강장산,kt,2017년 06월 16일,0,0,0,1
강장산,kt,2017년 06월 20일,0,0,1,0
강장산,kt,2017년 06월 27일,0,1,0,0
강장산,kt,2017년 06월 29일,1,0,0,1
강장산,kt,2017년 09월 16일,0,0,1,7
강장산,kt,2017년 09월 28일,0,1,7,0
강장산,kt,2017년 10월 03일,1,7,0,0
고봉재,두산,2016년 08월 10일,0,0,0,3
고봉재,두산,2016년 08월 13일,0,0,3,0
고봉재,두산,2016년 08월 20일,0,3,0,0
고봉재,두산,2016년 08월 24일,3,0,0,0
고봉재,두산,2016년 08월 26일,0,0,0,0
고봉재,두산,2016년 08월 30일,0,0,0,0
고봉재,두산,2016년 09월 06일,0,0,0,1
고봉재,두산,2016년 09월 10일,0,0,1,2
고봉재,두산,2016년 09월 17일,0,1,2,1
고봉재,두산,2016년 09월 29일,1,2,1,0
고봉재,두산,2016년 10월 03일,2,1,0,3
고봉재,두산,2017년 06월 02일,1,0,3,0
고영표,kt,2015년 05월 09일,2,1,0,2
고영표,kt,2015년 05월 27일,1,0,2,3
고영표,kt,2015년 06월 02일,0,2,3,0
고영표,kt,2015년 06월 10일,2,3,0,0
고영표,kt,2015년 06월 13일,3,0,0,3
고영표,kt,2015년 06월 17일,0,0,3,0
고영표,kt,2015년 06월 18일,0,3,0,0
고영표,kt,2015년 06월 23일,3,0,0,1
고영표,kt,2015년 06월 25일,0,0,1,2
고영표,kt,2015년 07월 31일,0,1,2,0
고영표,kt,2015년 08월 01일,1,2,0,0
고영표,kt,2015년 08월 06일,2,0,0,0
고영표,kt,2015년 08월 13일,0,0,0,1
고영표,kt,2015년 08월 19일,0,0,1,1
고영표,kt,2015년 08월 22일,0,1,1,0
고영표,kt,2015년 08월 26일,1,1,0,0
고영표,kt,2015년 09월 06일,1,0,0,0
고영표,kt,2015년 09월 10일,0,0,0,0
고영표,kt,2015년 09월 15일,0,0,0,1
