Name,Team,date,GA1,GA2,GA3,GA
강윤구,NC,06월 06일,0,1,0,3
강윤구,NC,06월 26일,1,0,3,0
강윤구,NC,07월 03일,0,3,0,0
강윤구,NC,07월 05일,3,0,0,0
강윤구,NC,07월 08일,0,0,0,0
강윤구,NC,07월 10일,0,0,0,0
강윤구,NC,07월 11일,0,0,0,0
고영표,KT,04월 14일,6,4,3,6
고영표,KT,04월 20일,4,3,6,2
고영표,KT,04월 26일,3,6,2,2
고영표,KT,05월 08일,6,2,2,7
고영표,KT,05월 13일,2,2,7,3
고영표,KT,05월 19일,2,7,3,0
고영표,KT,05월 24일,7,3,0,1
고영표,KT,05월 30일,3,0,1,4
고영표,KT,06월 05일,0,1,4,5
고영표,KT,06월 10일,1,4,5,6
고영표,KT,06월 16일,4,5,6,4
고영표,KT,06월 22일,5,6,4,5
고영표,KT,06월 30일,6,4,5,0
고영표,KT,07월 07일,4,5,0,1
고영표,KT,07월 12일,5,0,1,1
고우석,LG,04월 14일,1,0,0,0
고우석,LG,04월 19일,0,0,0,0
고우석,LG,04월 22일,0,0,0,0
고우석,LG,04월 24일,0,0,0,1
고우석,LG,04월 27일,0,0,1,0
고우석,LG,05월 03일,0,1,0,0
고우석,LG,05월 06일,1,0,0,3
고우석,LG,05월 10일,0,0,3,0
고우석,LG,05월 13일,0,3,0,2
고우석,LG,05월 23일,3,0,2,0
고우석,LG,05월 25일,0,2,0,2
고우석,LG,05월 31일,2,0,2,1
고우석,LG,06월 06일,0,2,1,0
고우석,LG,06월 09일,2,1,0,0
고우석,LG,06월 12일,1,0,0,1
고우석,LG,06월 17일,0,0,1,1
고우석,LG,06월 20일,0,1,1,2
고우석,LG,06월 23일,1,1,2,1
고우석,LG,06월 27일,1,2,1,0
고우석,LG,07월 05일,2,1,0,0
고우석,LG,07월 06일,1,0,0,0
고우석,LG,07월 08일,0,0,0,0
고창성,KT,04월 05일,0,0,0,2
고창성,KT,04월 11일,0,0,2,0
고창성,KT,04월 24일,0,2,0,0
고창성,KT,05월 04일,2,0,0,2
고창성,KT,05월 20일,0,0,2,1
고창성,KT,05월 23일,0,2,1,0
고창성,KT,05월 29일,2,1,0,0
고창성,KT,06월 01일,1,0,0,1
고창성,KT,06월 20일,0,0,1,0
고창성,KT,06월 23일,0,1,0,0
고창성,KT,06월 27일,1,0,0,0
고창성,KT,07월 10일,0,0,0,0
고효준,롯데,06월 26일,0,0,1,0
고효준,롯데,06월 27일,0,1,0,0
고효준,롯데,07월 07일,1,0,0,0
고효준,롯데,07월 10일,0,0,0,0
곽빈,두산,04월 14일,2,0,0,0
곽빈,두산,04월 18일,0,0,0,1
곽빈,두산,04월 20일,0,0,1,0
곽빈,두산,04월 21일,0,1,0,0
곽빈,두산,04월 24일,1,0,0,0
곽빈,두산,04월 27일,0,0,0,0
곽빈,두산,04월 29일,0,0,0,0
곽빈,두산,05월 06일,0,0,0,2
곽빈,두산,05월 09일,0,0,2,0
곽빈,두산,05월 18일,0,2,0,1
곽빈,두산,05월 19일,2,0,1,2
곽빈,두산,05월 31일,0,1,2,0
곽빈,두산,06월 17일,1,2,0,0
곽빈,두산,06월 21일,2,0,0,1
곽빈,두산,06월 22일,0,0,1,6
구승민,롯데,04월 06일,1,0,3,0
구승민,롯데,04월 11일,0,3,0,0
구승민,롯데,04월 12일,3,0,0,0
구승민,롯데,04월 18일,0,0,0,1
구승민,롯데,04월 22일,0,0,1,0
구승민,롯데,04월 26일,0,1,0,0
구승민,롯데,05월 02일,1,0,0,1
구승민,롯데,05월 25일,0,0,1,3
구승민,롯데,05월 30일,0,1,3,0
구승민,롯데,05월 31일,1,3,0,0
구승민,롯데,06월 01일,3,0,0,0
구승민,롯데,06월 05일,0,0,0,0
구승민,롯데,06월 07일,0,0,0,0
구승민,롯데,06월 08일,0,0,0,0
구승민,롯데,06월 12일,0,0,0,1
구승민,롯데,06월 14일,0,0,1,2
구승민,롯데,06월 17일,0,1,2,1
구승민,롯데,06월 20일,1,2,1,1
구승민,롯데,06월 21일,2,1,1,0
구승민,롯데,06월 24일,1,1,0,0
구승민,롯데,06월 27일,1,0,0,0
구승민,롯데,06월 28일,0,0,0,0
구승민,롯데,06월 30일,0,0,0,0
구승민,롯데,07월 05일,0,0,0,0
구승민,롯데,07월 11일,0,0,0,0
구창모,NC,04월 20일,2,0,3,6
구창모,NC,04월 24일,0,3,6,0
구창모,NC,04월 29일,3,6,0,0
구창모,NC,05월 02일,6,0,0,2
구창모,NC,05월 05일,0,0,2,0
구창모,NC,05월 11일,0,2,0,0
구창모,NC,05월 17일,2,0,0,4
구창모,NC,05월 22일,0,0,4,3
구창모,NC,05월 27일,0,4,3,5
구창모,NC,06월 02일,4,3,5,5
구창모,NC,06월 09일,3,5,5,0
구창모,NC,06월 15일,5,5,0,4
구창모,NC,06월 22일,5,0,4,1
구창모,NC,06월 27일,0,4,1,5
구창모,NC,07월 04일,4,1,5,9
구창모,NC,07월 10일,1,5,9,4
권오준,삼성,04월 04일,0,3,0,2
권오준,삼성,04월 10일,3,0,2,0
권오준,삼성,04월 12일,0,2,0,1
권오준,삼성,04월 18일,2,0,1,0
권오준,삼성,04월 26일,0,1,0,1
권오준,삼성,05월 01일,1,0,1,0
권오준,삼성,05월 11일,0,1,0,2
권오준,삼성,05월 20일,1,0,2,0
권오준,삼성,05월 26일,0,2,0,0
권오준,삼성,05월 27일,2,0,0,0
권오준,삼성,06월 05일,0,0,0,0
권오준,삼성,06월 08일,0,0,0,2
권오준,삼성,06월 13일,0,0,2,1
권오준,삼성,06월 14일,0,2,1,0
권오준,삼성,06월 16일,2,1,0,0
권오준,삼성,06월 21일,1,0,0,1
권오준,삼성,06월 23일,0,0,1,3
권오준,삼성,06월 24일,0,1,3,0
권오준,삼성,06월 29일,1,3,0,0
권오준,삼성,07월 06일,3,0,0,0
권오준,삼성,07월 12일,0,0,0,0
금민철,KT,04월 15일,3,1,4,7
금민철,KT,04월 21일,1,4,7,3
금민철,KT,04월 27일,4,7,3,2
금민철,KT,05월 03일,7,3,2,2
금민철,KT,05월 09일,3,2,2,3
금민철,KT,05월 15일,2,2,3,0
금민철,KT,05월 20일,2,3,0,2
금민철,KT,05월 26일,3,0,2,4
금민철,KT,06월 01일,0,2,4,6
금민철,KT,06월 07일,2,4,6,2
금민철,KT,06월 14일,4,6,2,7
금민철,KT,06월 19일,6,2,7,7
금민철,KT,06월 24일,2,7,7,0
금민철,KT,07월 06일,7,7,0,6
금민철,KT,07월 12일,7,0,6,1
김강률,두산,03월 29일,2,0,1,0
김강률,두산,04월 03일,0,1,0,2
김강률,두산,04월 07일,1,0,2,0
김강률,두산,04월 08일,0,2,0,4
김강률,두산,04월 27일,2,0,4,0
김강률,두산,04월 29일,0,4,0,0
김강률,두산,05월 03일,4,0,0,0
김강률,두산,05월 05일,0,0,0,0
김강률,두산,05월 06일,0,0,0,0
김강률,두산,05월 15일,0,0,0,0
김강률,두산,05월 16일,0,0,0,0
김강률,두산,05월 18일,0,0,0,0
김강률,두산,05월 20일,0,0,0,0
김강률,두산,05월 27일,0,0,0,1
김강률,두산,05월 30일,0,0,1,0
김강률,두산,06월 06일,0,1,0,0
김강률,두산,06월 08일,1,0,0,0
김강률,두산,06월 13일,0,0,0,0
김강률,두산,06월 14일,0,0,0,2
김강률,두산,06월 22일,0,0,2,0
김강률,두산,06월 23일,0,2,0,0
김강률,두산,06월 26일,2,0,0,0
김강률,두산,06월 29일,0,0,0,1
김강률,두산,07월 08일,0,0,1,2
김강률,두산,07월 10일,0,1,2,2
김강률,두산,07월 12일,1,2,2,0
김광현,SK,04월 15일,0,0,6,0
김광현,SK,04월 21일,0,6,0,3
김광현,SK,04월 27일,6,0,3,2
김광현,SK,05월 13일,0,3,2,0
김광현,SK,05월 19일,3,2,0,2
김광현,SK,05월 25일,2,0,2,1
김광현,SK,05월 31일,0,2,1,2
