,0
0,0.9
1,0.4
2,0.7
3,0.5
4,0.5
5,0.4
6,0.5
7,0.6
8,0.6
9,0.4
10,0.6
11,0.5
12,0.4
13,0.3
14,0.2
15,0.6
16,0.3
17,0.6
18,0.5
19,0.3
20,0.5
21,0.5
22,0.3
23,0.5
24,0.6
25,0.2
26,0.5
27,0.6
28,0.2
29,0.4
30,0.7
31,0.2
32,0.4
33,0.3
34,0.7
35,0.5
36,0.5
37,0.4
38,0.5
39,0.3
40,0.3
41,0.7
42,0.9
43,0.6
44,0.6
45,0.3
46,0.5
47,0.5
48,0.5
49,0.6
50,0.3
51,0.6
52,0.5
53,0.6
54,0.5
55,0.7
56,0.4
57,0.4
58,0.4
59,0.9
60,0.2
61,0.7
62,0.6
63,0.6
64,0.4
65,0.6
66,0.5
67,0.3
68,0.6
69,0.6
70,0.3
71,0.5
72,0.5
73,0.3
74,0.4
75,0.5
76,0.9
77,0.4
78,0.2
79,0.8
80,0.4
81,0.4
82,0.8
83,0.4
84,0.6
85,0.2
86,0.5
87,0.5
88,0.2
89,0.1
90,0.7
91,0.3
92,0.5
93,0.5
94,0.5
95,0.5
96,0.6
97,0.3
98,0.5
99,0.3
100,0.7
101,0.4
102,0.6
103,0.5
104,0.5
105,0.5
106,0.5
107,0.5
108,0.2
109,0.4
110,0.4
111,0.3
112,0.5
113,0.3
114,0.4
115,0.5
116,0.6
117,0.3
118,0.5
119,0.1
120,0.3
121,0.4
122,0.4
123,0.3
124,0.6
125,0.6
126,0.3
127,0.5
128,0.5
129,0.6
130,0.9
131,0.5
132,0.1
133,0.5
134,0.1
135,0.1
136,0.2
137,0.9
138,0.4
139,0.7
140,0.5
141,0.6
142,0.8
143,0.3
144,0.5
145,1.0
146,0.6
147,0.2
148,0.7
149,0.6
150,0.9
151,0.4
152,0.6
153,0.5
154,0.2
155,0.5
156,0.5
157,0.6
158,0.5
159,0.2
160,0.1
161,0.4
162,0.6
163,0.4
164,0.6
165,0.3
166,0.4
167,0.6
168,0.1
169,0.4
170,0.3
171,0.4
172,0.2
173,0.5
174,0.6
175,0.2
176,0.2
177,0.5
178,0.7
179,0.6
180,0.7
181,0.3
182,0.5
183,0.7
184,0.7
185,0.8
186,0.1
187,0.6
188,0.4
189,0.2
190,0.5
191,0.5
192,0.5
193,0.2
194,0.7
195,0.7
196,0.8
197,0.5
198,0.6
199,0.3
200,0.6
201,0.3
202,0.5
203,0.5
204,0.3
205,0.7
206,0.7
207,0.1
208,0.5
209,0.5
210,0.5
211,0.3
212,0.6
213,0.7
214,0.2
215,0.4
216,0.3
217,0.4
218,0.3
219,0.4
220,0.6
221,0.6
222,0.6
223,0.5
224,0.5
225,0.5
226,0.7
227,0.5
228,0.6
229,0.3
230,0.3
231,0.7
232,0.4
233,0.6
234,0.3
235,0.8
236,0.4
237,0.6
238,0.8
239,0.7
240,0.6
241,0.7
242,0.6
243,0.6
244,0.7
245,0.3
246,0.4
247,0.5
248,0.4
249,0.7
250,0.3
251,0.2
252,0.9
253,0.5
254,0.4
255,0.4
256,0.3
257,0.7
258,0.3
259,0.4
260,0.3
261,0.8
262,0.5
263,0.5
264,0.1
265,0.5
266,0.5
267,0.5
268,0.4
269,0.5
270,0.3
271,0.6
272,0.5
273,0.3
274,0.6
275,0.9
276,0.4
277,0.5
278,0.4
279,0.4
280,0.6
281,0.7
282,0.7
283,0.5
284,0.5
285,0.3
286,0.8
287,0.8
288,0.4
289,0.6
290,0.1
291,0.6
292,0.6
293,0.5
294,0.2
295,0.4
296,0.4
297,0.6
298,0.4
299,0.5
300,0.4
301,0.2
302,0.5
303,0.6
304,0.3
305,0.1
306,0.8
307,0.5
308,0.4
309,0.7
310,0.2
311,0.2
312,0.5
313,0.5
314,0.7
315,0.3
316,0.2
317,0.7
318,0.3
319,0.4
320,0.7
321,0.7
322,0.8
323,0.8
324,0.4
325,0.7
326,0.3
327,0.5
328,0.2
329,0.4
330,0.5
331,0.3
332,0.1
333,0.5
334,0.4
335,0.4
336,0.7
337,0.6
338,0.5
339,0.5
340,0.7
341,0.6
342,0.7
343,0.5
344,0.2
345,0.5
346,0.3
347,0.5
348,0.6
349,0.4
350,0.7
351,0.2
352,0.4
353,0.3
354,0.4
355,0.6
356,0.5
357,0.5
358,0.3
359,0.4
360,0.3
361,0.7
362,0.6
363,0.5
364,0.7
365,0.9
366,0.2
367,0.6
368,0.5
369,0.6
370,0.8
371,0.2
372,0.2
373,0.6
374,0.7
375,0.4
376,0.3
377,0.5
378,0.5
379,0.4
380,0.2
381,0.4
382,0.55
383,0.4
384,0.6
385,0.9
386,0.7
387,0.8
388,0.6
389,0.7
390,0.5
391,0.3
392,0.4
393,0.6
394,0.5
395,0.3
396,0.9
397,0.6
398,0.8
399,0.4
400,0.4
401,0.6
402,0.3
403,0.4
404,0.6
405,0.5
406,0.9
407,0.6
408,0.5
409,0.3
410,0.4
411,0.5
412,0.5
413,0.6
414,0.6
415,0.6
416,0.1
417,0.4
418,0.5
419,0.7
420,0.6
421,0.2
422,0.3
423,0.7
424,0.7
425,0.4
426,0.8
427,0.7
428,0.8
429,0.5
430,0.4
431,0.4
432,0.5
433,0.6
434,0.7
435,0.3
436,0.7
437,0.4
438,0.6
439,0.3
440,0.2
441,0.7
442,0.6
443,0.2
444,0.2
445,0.3
446,0.4
447,0.5
448,0.2
449,0.5
450,0.4
451,0.3
452,0.7
453,0.3
454,0.8
455,0.4
456,0.6
457,0.3
458,0.4
459,0.3
460,0.5
461,0.7
462,0.5
463,0.8
464,0.6
465,0.5
466,0.6
467,0.6
468,0.9
469,0.3
470,0.0
471,0.5
472,0.3
473,0.6
474,0.3
475,0.3
476,0.7
477,0.8
478,0.26
479,0.4
480,0.5
481,0.0
482,0.5
483,0.6
484,0.4
485,0.5
486,0.2
487,0.3
488,0.7
489,0.5
490,0.5
491,0.2
492,0.24333333333333332
493,0.7
494,0.2
495,0.4
496,0.4
497,0.5
498,0.8
499,0.4
500,0.1
501,0.4
502,0.6
