,0
0,1
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,1
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,1
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,0
411,1
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,1
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,1
453,1
454,1
455,0
456,0
457,1
458,0
459,0
460,0
461,1
462,1
463,1
464,1
465,0
466,0
467,1
468,1
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,1
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,1
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,1
582,1
583,1
584,0
585,0
586,1
587,1
588,1
589,0
590,1
591,1
592,0
593,0
594,0
595,0
596,1
597,1
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,0
627,0
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,0
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,0
685,1
686,0
687,1
688,1
689,0
690,1
691,0
692,1
693,0
694,0
695,1
696,1
697,0
698,1
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,0
716,0
717,0
718,1
719,1
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,1
733,0
734,0
735,0
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,1
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,0
780,0
781,1
782,0
783,1
784,0
785,0
786,1
787,0
788,0
789,0
790,1
791,1
792,0
793,0
794,1
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,1
804,1
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,1
817,0
818,1
819,0
820,0
821,0
822,0
823,0
824,0
825,1
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,1
850,0
851,1
852,0
853,1
854,0
855,0
856,0
857,1
858,1
859,1
860,0
861,1
862,1
863,1
864,1
865,0
866,0
867,0
868,1
869,1
870,1
871,1
872,1
873,0
874,0
875,1
876,0
877,1
878,0
879,0
880,0
881,0
882,0
883,1
884,0
885,0
886,0
887,1
888,0
889,1
890,0
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,1
906,1
907,1
908,0
909,0
910,0
911,0
912,0
913,1
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,0
924,1
925,0
926,0
927,0
928,1
929,1
930,1
931,0
932,0
933,1
934,0
935,1
936,0
937,0
938,1
939,1
940,0
941,0
942,0
943,0
944,1
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,1
953,1
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,1
962,0
963,1
964,1
965,1
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,0
974,0
975,1
976,1
977,1
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,1
987,0
988,0
989,1
990,0
991,0
992,1
993,1
994,0
995,1
996,1
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,1
1010,1
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,0
1037,0
1038,0
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,0
1059,0
1060,1
1061,1
1062,1
1063,0
1064,0
1065,0
1066,0
1067,1
1068,0
1069,1
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,1
1080,0
1081,0
1082,1
1083,0
1084,0
1085,1
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,1
1093,0
1094,1
1095,1
1096,0
1097,0
1098,0
1099,0
1100,1
1101,0
1102,1
1103,0
1104,1
1105,1
1106,0
1107,0
1108,0
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,1
1127,1
1128,1
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,1
1138,0
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,0
1152,1
1153,0
1154,0
1155,1
1156,1
1157,0
1158,0
1159,1
1160,0
1161,1
1162,1
1163,1
1164,0
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,0
1176,0
1177,0
1178,1
1179,0
1180,1
1181,1
1182,0
1183,1
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,0
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,0
1207,1
1208,1
1209,1
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,0
1224,1
1225,1
1226,0
1227,0
1228,1
1229,0
1230,0
